,0
288,678
289,1046
290,431
291,994
292,1066
293,44
294,389
295,261
296,280
297,89
298,583
299,704
300,985
301,98
302,651
303,738
304,961
305,386
306,744
307,96
308,973
309,666
310,492
311,1124
312,1
313,904
314,635
315,1091
316,61
317,951
318,1003
319,1073
320,751
321,80
322,959
323,685
324,954
325,499
326,328
327,925
328,248
329,832
330,605
331,853
332,931
333,282
334,1001
335,1081
336,526
337,1082
338,232
339,74
340,175
341,873
342,538
343,578
344,238
345,544
346,932
347,665
348,18
349,900
350,286
351,153
352,456
353,809
354,458
355,42
356,1036
357,804
358,709
359,1160
360,975
361,727
362,626
363,1100
364,392
365,675
366,1024
367,1008
368,568
369,936
370,277
371,104
372,1147
373,824
374,1057
375,1090
376,840
377,77
378,490
379,475
380,333
381,871
382,938
383,342
384,265
385,1140
386,1144
387,536
388,774
389,147
390,446
391,1051
392,76
393,771
394,118
395,324
396,176
397,639
398,136
399,182
400,784
401,532
402,1161
403,537
404,335
405,293
406,235
407,170
408,1045
409,455
410,634
411,1012
412,451
413,694
414,396
415,701
416,1116
417,531
418,325
419,1023
420,1038
421,497
422,126
423,947
424,188
425,24
426,20
427,272
428,501
429,756
430,890
431,554
432,630
433,1055
434,879
435,1025
436,899
437,120
438,867
439,5
440,972
441,876
442,667
443,1004
444,878
445,521
446,478
447,483
448,1171
449,408
450,204
451,72
452,785
453,360
454,1013
455,321
456,315
457,712
458,874
459,960
460,64
461,53
462,245
463,1056
464,893
465,208
466,941
467,14
468,305
469,1117
470,394
471,388
472,877
473,291
474,729
475,167
476,814
477,677
478,673
479,828
480,115
481,789
482,594
483,156
484,680
485,190
486,37
487,854
488,1085
489,35
490,448
491,984
492,165
493,542
494,764
495,185
496,47
497,980
498,903
499,349
500,121
501,1000
502,598
503,198
504,1170
505,133
506,1089
507,16
508,816
509,691
510,1156
511,317
512,7
513,1174
514,1070
515,810
516,609
517,990
518,260
519,901
520,1033
521,1165
522,1168
523,447
524,251
525,982
526,71
527,1097
528,434
529,707
530,443
531,236
532,773
533,263
534,1052
535,882
536,563
537,679
538,219
539,351
540,553
541,524
542,596
543,13
544,956
545,399
546,565
547,949
548,557
549,746
550,289
551,425
552,2
553,419
554,329
555,308
556,203
557,496
558,624
559,852
560,330
561,907
562,760
563,361
564,567
565,543
566,1032
567,986
568,539
569,303
570,409
571,31
572,812
573,367
574,1072
575,1020
576,562
577,468
578,491
579,889
580,749
581,157
582,983
583,391
584,145
585,918
586,1173
587,79
588,428
589,294
590,470
591,410
592,4
593,134
594,414
595,62
596,525
597,1123
598,337
599,957
600,708
601,552
602,444
603,714
604,541
605,93
606,1125
607,149
608,259
609,724
610,1157
611,672
612,205
613,152
614,1071
615,415
616,462
617,593
618,897
619,533
620,269
621,461
622,83
623,758
624,702
625,1093
626,193
627,450
628,792
629,1096
630,132
631,1069
632,811
633,246
634,218
635,319
636,588
637,530
638,683
639,555
640,1137
641,717
642,183
643,314
644,715
645,690
646,309
647,453
648,268
649,73
650,545
651,620
652,989
653,716
654,619
655,487
656,703
657,63
658,105
659,254
660,92
661,732
662,891
663,783
664,362
665,420
666,1146
667,750
668,304
669,948
670,1060
671,953
672,718
673,148
674,143
675,721
676,177
677,559
678,642
679,1015
680,996
681,422
682,117
683,781
684,3
685,534
686,440
687,274
688,991
689,1114
690,625
691,432
692,540
693,459
694,566
695,249
696,48
697,629
698,844
699,113
700,70
701,75
702,1107
703,332
704,549
705,1121
706,1105
707,1154
708,296
709,602
710,1135
711,663
712,129
713,400
714,617
715,222
716,217
717,1062
718,801
719,731
720,595
721,213
722,606
723,1030
724,476
725,215
726,519
727,862
728,512
729,186
730,1049
731,368
732,84
733,615
734,1064
735,413
736,1011
737,695
738,214
739,846
740,1050
741,1133
742,12
743,416
744,613
745,513
746,452
747,19
748,302
749,60
750,493
751,380
752,1010
753,107
754,106
755,68
756,382
757,66
758,886
759,366
760,805
761,348
762,163
763,338
764,752
765,992
766,1136
767,209
768,253
769,495
770,739
771,124
772,1102
773,484
774,244
775,1094
776,311
777,81
778,700
779,112
780,597
781,977
782,671
783,656
784,347
785,787
786,887
787,603
788,644
789,17
790,364
791,227
792,405
793,574
794,875
795,242
796,1054
797,103
798,572
799,942
800,911
801,1112
802,888
803,856
804,604
805,1021
806,1164
807,320
808,698
809,283
810,726
811,1150
812,233
813,377
814,560
815,210
816,1063
817,1139
818,387
819,1029
820,645
821,734
822,21
823,1163
824,913
825,1098
826,46
827,258
828,693
829,1014
830,865
831,720
832,688
833,101
834,206
835,1127
836,1017
837,1109
838,987
839,1145
840,278
841,418
842,607
843,429
844,676
845,247
846,995
847,346
848,1043
849,791
850,298
851,778
852,830
853,1122
854,67
855,350
856,191
857,745
858,780
859,257
860,697
861,806
862,1084
863,164
864,550
865,1016
866,864
867,266
868,0
869,500
870,421
871,285
872,529
873,43
874,159
875,404
876,15
877,95
878,49
879,905
880,870
881,55
882,87
883,601
884,385
885,736
886,10
887,412
888,915
889,51
890,1031
891,65
892,869
893,896
894,200
895,201
896,571
897,912
898,1077
899,357
900,1061
901,970
902,199
903,808
904,917
905,829
906,275
907,297
908,653
909,301
910,359
911,742
912,340
913,460
914,1126
915,754
916,1006
917,1022
918,6
919,759
920,570
921,1149
922,1053
923,1086
924,292
925,352
926,310
927,1037
928,8
929,11
930,99
931,94
932,439
933,711
934,1099
935,369
936,902
937,28
938,243
939,863
940,1095
941,343
942,393
943,379
944,768
945,273
946,172
947,402
948,59
949,923
950,535
951,32
952,1088
953,815
954,581
955,654
956,587
957,928
958,1119
959,1159
960,649
961,127
962,441
963,45
964,766
965,919
966,885
967,686
968,906
969,1129
970,108
971,374
972,481
973,287
974,345
975,341
976,1048
977,138
978,848
979,850
980,1148
981,747
982,195
983,868
984,858
985,945
986,968
987,817
988,965
989,189
990,1113
991,130
992,1078
993,223
994,788
995,151
996,39
997,664
998,908
999,825
1000,803
1001,599
1002,1130
1003,782
1004,952
1005,650
1006,406
1007,719
1008,705
1009,472
1010,971
1011,435
1012,1028
1013,316
1014,390
1015,1044
1016,795
1017,281
1018,999
1019,658
1020,1177
1021,845
1022,706
1023,772
1024,353
1025,509
1026,442
1027,884
1028,57
1029,179
1030,1143
1031,1080
1032,1178
1033,224
1034,827
1035,880
1036,1141
1037,1176
1038,681
1039,256
1040,564
1041,173
1042,510
1043,743
1044,668
1045,1076
1046,776
1047,894
1048,786
1049,765
1050,146
1051,763
1052,34
1053,610
1054,471
1055,234
1056,370
1057,1018
1058,580
1059,777
1060,725
1061,881
1062,546
1063,612
1064,241
1065,757
1066,962
1067,800
1068,1075
1069,584
1070,180
1071,910
1072,371
1073,929
1074,131
1075,69
1076,295
1077,336
1078,417
1079,522
1080,822
1081,194
1082,978
1083,657
1084,1009
1085,589
1086,86
1087,920
1088,1026
1089,569
1090,1067
1091,56
1092,600
1093,748
1094,935
1095,699
1096,1005
1097,516
1098,327
1099,933
1100,488
1101,479
1102,922
1103,358
1104,40
1105,212
1106,689
1107,424
1108,655
1109,514
1110,401
1111,363
1112,1172
1113,998
1114,1120
1115,839
1116,586
1117,592
1118,967
1119,463
1120,1007
1121,1079
1122,793
1123,276
1124,682
1125,109
1126,114
1127,375
1128,1092
1129,628
1130,916
1131,142
1132,821
1133,1131
1134,1040
1135,558
1136,230
1137,318
1138,883
1139,797
1140,737
1141,820
1142,608
1143,520
1144,486
1145,174
1146,652
1147,423
1148,872
1149,184
1150,627
1151,373
1152,267
1153,50
1154,1167
1155,239
1156,740
1157,1118
1158,137
1159,438
1160,334
1161,733
1162,306
1163,636
1164,857
1165,556
1166,1153
1167,221
1168,582
1169,395
1170,1042
1171,290
1172,154
1173,997
1174,381
1175,770
1176,921
1177,508
1178,860
1179,307
0,99
1,939
2,1125
3,1020
4,231
5,122
6,443
7,61
8,239
9,78
10,81
11,594
12,628
13,977
14,517
15,839
16,483
17,902
18,488
19,1048
20,576
21,49
22,439
23,947
24,42
25,320
26,159
27,306
28,596
29,706
30,273
31,470
32,334
33,791
34,217
35,434
36,677
37,229
38,1167
39,575
40,623
41,816
42,735
43,246
44,592
45,129
46,1102
47,823
48,138
49,738
50,536
51,1072
52,2
53,714
54,692
55,936
56,651
57,52
58,323
59,564
60,285
61,723
62,1054
63,1032
64,777
65,530
66,185
67,114
68,87
69,826
70,838
71,527
72,216
73,598
74,1082
75,1025
76,300
77,262
78,1004
79,809
80,984
81,211
82,1064
83,654
84,19
85,1076
86,398
87,143
88,315
89,54
90,1033
91,855
92,652
93,1149
94,1030
95,863
96,1107
97,497
98,776
99,319
100,500
101,196
102,1179
103,862
104,852
105,173
106,867
107,245
108,1026
109,890
110,459
111,1126
112,387
113,259
114,375
115,1120
116,27
117,1104
118,1169
119,1127
120,769
121,166
122,775
123,22
124,417
125,198
126,255
127,468
128,642
129,175
130,155
131,96
132,1105
133,578
134,183
135,396
136,158
137,556
138,804
139,268
140,7
141,86
142,1021
143,492
144,891
145,310
146,60
147,612
148,523
149,405
150,284
151,1178
152,893
153,50
154,501
155,381
156,108
157,534
158,331
159,433
160,1152
161,925
162,1100
163,1027
164,1029
165,1081
166,927
167,937
168,1060
169,109
170,878
171,821
172,928
173,622
174,101
175,435
176,499
177,914
178,565
179,1139
180,1176
181,846
182,1166
183,585
184,989
185,74
186,724
187,294
188,698
189,898
190,1015
191,607
192,242
193,731
194,930
195,978
196,1161
197,271
198,525
199,465
200,105
201,295
202,1134
203,152
204,543
205,624
206,790
207,849
208,1083
209,1007
210,854
211,1163
212,739
213,847
214,53
215,851
216,20
217,1135
218,611
219,583
220,65
221,298
222,510
223,743
224,868
225,130
226,221
227,1063
228,280
229,879
230,605
231,432
232,149
233,164
234,1040
235,238
236,446
237,33
238,322
239,1077
240,312
241,590
242,218
243,1170
244,546
245,207
246,1085
247,210
248,356
249,426
250,986
251,1090
252,8
253,281
254,1070
255,841
256,1093
257,976
258,1019
259,954
260,1022
261,1174
262,260
263,941
264,1075
265,762
266,680
267,460
268,1024
269,1042
270,1171
271,213
272,378
273,362
274,763
275,35
276,785
277,1136
278,1101
279,449
280,561
281,650
282,657
283,906
284,167
285,553
286,797
287,56
288,458
289,1034
290,41
291,3
292,348
293,233
294,796
295,616
296,833
297,13
298,772
299,981
300,922
301,713
302,535
303,220
304,305
305,861
306,55
307,613
308,1057
309,952
310,502
311,904
312,116
313,240
314,740
315,223
316,390
317,566
318,63
319,150
320,508
321,165
322,665
323,693
324,453
325,168
326,1043
327,257
328,681
329,145
330,161
331,80
332,542
333,200
334,1118
335,946
336,374
337,92
338,633
339,766
340,794
341,219
342,1143
343,1000
344,317
345,1008
346,1067
347,701
348,716
349,1142
350,182
351,47
352,756
353,587
354,699
355,180
356,912
357,15
358,656
359,808
360,212
361,1078
362,729
363,970
364,371
365,57
366,894
367,399
368,901
369,626
370,837
371,635
372,235
373,1009
374,301
375,691
376,573
377,383
378,44
379,765
380,269
381,824
382,932
383,951
384,1103
385,199
386,401
387,857
388,1073
389,282
390,457
391,827
392,945
393,771
394,120
395,98
396,819
397,91
398,997
399,1006
400,384
401,817
402,462
403,140
404,79
405,844
406,236
407,753
408,1037
409,660
410,606
411,568
412,745
413,283
414,1133
415,441
416,14
417,905
418,46
419,367
420,89
421,24
422,870
423,710
424,707
425,747
426,333
427,822
428,1003
429,876
430,811
431,224
432,296
433,373
434,871
435,719
436,336
437,1039
438,948
439,361
440,121
441,678
442,518
443,1117
444,64
445,787
446,1110
447,39
448,73
449,4
450,466
451,1094
452,478
453,764
454,136
455,784
456,603
457,755
458,673
459,414
460,662
461,1092
462,485
463,177
464,487
465,147
466,113
467,579
468,722
469,779
470,106
471,1080
472,778
473,563
474,18
475,1018
476,429
477,447
478,318
479,62
480,467
481,385
482,308
483,360
484,1121
485,494
486,511
487,526
488,464
489,250
490,907
491,345
492,181
493,923
494,638
495,577
496,1017
497,505
498,1084
499,25
500,1051
501,924
502,829
503,330
504,987
505,593
506,999
507,278
508,1086
509,107
510,700
511,742
512,125
513,720
514,1005
515,436
516,880
517,359
518,1001
519,533
520,617
521,206
522,404
523,326
524,450
525,36
526,995
527,119
528,1079
529,994
530,472
531,128
532,653
533,688
534,1172
535,100
536,335
537,241
538,1023
539,247
540,586
541,537
542,799
543,798
544,144
545,629
546,780
547,580
548,815
549,990
550,482
551,29
552,10
553,225
554,266
555,655
556,157
557,427
558,967
559,801
560,347
561,68
562,746
563,601
564,521
565,886
566,153
567,786
568,781
569,148
570,881
571,409
572,253
573,968
574,97
575,974
576,357
577,957
578,615
579,491
580,82
581,365
582,267
583,249
584,88
585,328
586,270
587,913
588,1144
589,850
590,1155
591,407
592,178
593,6
594,625
595,127
596,112
597,843
598,1177
599,888
600,715
601,1115
602,793
603,423
604,1002
605,971
606,313
607,1138
608,998
609,531
610,1129
611,244
612,552
613,910
614,366
615,28
616,704
617,514
618,228
619,1098
620,582
621,248
622,584
623,933
624,293
625,773
626,806
627,411
628,1162
629,727
630,818
631,1150
632,34
633,43
634,327
635,873
636,694
637,137
638,759
639,442
640,408
641,118
642,619
643,684
644,420
645,1028
646,12
647,661
648,288
649,431
650,369
651,889
652,226
653,869
654,631
655,380
656,639
657,142
658,825
659,131
660,489
661,929
662,1157
663,637
664,882
665,141
666,915
667,1106
668,5
669,591
670,456
671,991
672,856
673,452
674,174
675,636
676,726
677,940
678,949
679,574
680,549
681,569
682,455
683,682
684,560
685,696
686,866
687,728
688,422
689,964
690,135
691,686
692,304
693,21
694,1130
695,1011
696,451
697,38
698,32
699,865
700,725
701,803
702,645
703,1052
704,734
705,504
706,877
707,760
708,195
709,0
710,353
711,897
712,614
713,733
714,445
715,290
716,795
717,475
718,831
719,570
720,117
721,730
722,413
723,486
724,828
725,648
726,519
727,339
728,337
729,697
730,620
731,1108
732,179
733,261
734,264
735,892
736,938
737,604
738,1
739,254
740,934
741,1074
742,71
743,274
744,858
745,379
746,102
747,194
748,1137
749,820
750,307
751,132
752,782
753,751
754,476
755,1140
756,421
757,770
758,292
759,69
760,554
761,1059
762,299
763,597
764,471
765,935
766,754
767,297
768,599
769,172
770,883
771,567
772,133
773,810
774,748
775,550
776,953
777,685
778,37
779,1173
780,192
781,1061
782,395
783,163
784,647
785,17
786,792
787,814
788,926
789,11
790,146
791,813
792,600
793,955
794,1045
795,664
796,95
797,761
798,272
799,958
800,190
801,872
802,364
803,853
804,1041
805,864
806,830
807,1036
808,1132
809,70
810,980
811,1146
812,588
813,162
814,921
815,717
816,495
817,749
818,836
819,139
820,529
821,376
822,454
823,528
824,658
825,1044
826,256
827,314
828,956
829,197
830,382
831,461
832,440
833,718
834,572
835,104
836,507
837,979
838,201
839,515
840,920
841,1087
842,311
843,512
844,562
845,982
846,669
847,667
848,67
849,1116
850,204
851,679
852,9
853,965
854,539
855,802
856,758
857,520
858,506
859,683
860,123
861,744
862,354
863,547
864,1158
865,1016
866,741
867,392
868,1112
869,170
870,16
871,732
872,610
873,31
874,911
875,1097
876,187
877,559
878,75
879,966
880,289
881,1151
882,721
883,1035
884,291
885,1069
886,279
887,689
888,1068
889,154
890,541
891,234
892,227
893,643
894,649
895,51
896,425
897,189
898,757
899,1058
900,670
901,973
902,676
903,332
904,186
905,191
906,403
907,341
908,962
909,1047
910,237
911,1168
912,992
913,589
914,1156
915,252
916,77
917,668
918,363
919,110
920,1154
921,845
922,805
923,419
924,903
925,286
926,675
927,94
928,397
929,415
930,1099
931,469
932,602
933,538
934,151
935,208
936,479
937,909
938,58
939,232
940,634
941,993
942,555
943,76
944,571
945,325
946,59
947,885
948,124
949,711
950,988
951,346
952,690
953,351
954,324
955,860
956,963
957,1147
958,874
959,169
960,1148
961,355
962,222
963,532
964,672
965,750
966,1114
967,1141
968,448
969,276
970,437
971,969
972,406
973,896
974,93
975,671
976,895
977,996
978,176
979,350
980,438
981,983
982,943
983,918
984,277
985,230
986,627
987,942
988,1066
989,386
990,481
991,834
992,90
993,477
994,72
995,708
996,428
997,659
998,788
999,1062
1000,410
1001,377
1002,1091
1003,370
1004,480
1005,321
1006,842
1007,111
1008,509
1009,85
1010,484
1011,1010
1012,646
1013,349
1014,1046
1015,303
1016,1012
1017,1088
1018,40
1019,344
1020,545
1021,84
1022,840
1023,931
1024,835
1025,975
1026,402
1027,302
1028,899
1029,540
1030,263
1031,917
1032,1131
1033,243
1034,309
1035,687
1036,393
1037,832
1038,702
1039,1153
1040,768
1041,783
1042,372
1043,736
1044,551
1045,644
1046,618
1047,581
1048,340
1049,848
1050,916
1051,712
1052,214
1053,338
1054,203
1055,358
1056,316
1057,83
1058,1160
1059,1096
1060,859
1061,1111
1062,342
1063,498
1064,1109
1065,368
1066,812
1067,908
1068,674
1069,944
1070,126
1071,1175
1072,709
1073,1164
1074,1038
1075,171
1076,496
1077,275
1078,767
1079,1014
1080,950
1081,1165
1082,1145
1083,1095
1084,388
1085,389
1086,1124
1087,516
1088,1159
1089,115
1090,400
1091,202
1092,258
1093,522
1094,609
1095,103
1096,703
1097,608
1098,473
1099,513
1100,900
1101,391
1102,343
1103,632
1104,1065
1105,209
1106,1119
1107,188
1108,961
1109,640
1110,666
1111,45
1112,558
1113,26
1114,705
1115,1122
1116,205
1117,524
1118,1031
1119,695
1120,490
1121,503
1122,1113
1123,48
1124,1089
1125,474
1126,959
1127,416
1128,630
1129,493
1130,251
1131,595
1132,134
1133,1071
1134,1013
1135,557
1136,1050
1137,430
1138,23
1139,424
1140,160
1141,774
1142,960
1143,394
1144,985
1145,621
1146,329
1147,887
1148,352
1149,807
1150,789
1151,444
1152,265
1153,548
1154,463
1155,156
1156,1056
1157,1055
1158,287
1159,184
1160,919
1161,1049
1162,1128
1163,800
1164,972
1165,641
1166,884
1167,1053
1168,193
1169,544
1170,412
1171,875
1172,30
1173,418
1174,737
1175,663
1176,1123
1177,66
1178,215
1179,752
0,873
1,698
2,709
3,40
4,363
5,134
6,677
7,992
8,765
9,224
10,1179
11,1132
12,430
13,499
14,420
15,475
16,249
17,330
18,645
19,261
20,144
21,996
22,976
23,480
24,80
25,1034
26,61
27,221
28,868
29,343
30,630
31,41
32,840
33,195
34,670
35,275
36,1037
37,355
38,482
39,536
40,1074
41,99
42,690
43,386
44,740
45,888
46,583
47,241
48,369
49,286
50,863
51,686
52,168
53,182
54,735
55,771
56,1108
57,680
58,220
59,701
60,638
61,49
62,223
63,550
64,185
65,22
66,949
67,593
68,186
69,328
70,720
71,412
72,486
73,391
74,614
75,310
76,371
77,207
78,619
79,502
80,894
81,588
82,1122
83,867
84,618
85,236
86,594
87,959
88,815
89,397
90,857
91,803
92,1050
93,603
94,832
95,5
96,180
97,837
98,13
99,819
100,272
101,469
102,274
103,1052
104,1078
105,239
106,956
107,970
108,1150
109,541
110,250
111,587
112,214
113,906
114,64
115,571
116,353
117,1137
118,468
119,993
120,231
121,1157
122,1057
123,1048
124,1103
125,983
126,687
127,1148
128,315
129,1141
130,112
131,927
132,246
133,699
134,685
135,398
136,53
137,461
138,121
139,1035
140,219
141,891
142,1068
143,390
144,1077
145,1053
146,604
147,509
148,1046
149,485
150,427
151,729
152,331
153,437
154,535
155,100
156,368
157,797
158,599
159,161
160,1065
161,965
162,700
163,651
164,790
165,1075
166,135
167,999
168,946
169,462
170,602
171,511
172,841
173,827
174,71
175,715
176,479
177,775
178,148
179,918
180,538
181,77
182,696
183,70
184,365
185,1176
186,1168
187,1029
188,20
189,940
190,695
191,159
192,1134
193,253
194,494
195,1089
196,321
197,905
198,229
199,766
200,54
201,1114
202,981
203,184
204,1129
205,434
206,103
207,943
208,1014
209,202
210,25
211,1062
212,12
213,945
214,323
215,217
216,1175
217,150
218,1006
219,721
220,167
221,322
222,230
223,140
224,1085
225,1169
226,197
227,874
228,384
229,438
230,151
231,205
232,576
233,967
234,883
235,26
236,1146
237,1117
238,116
239,921
240,1040
241,586
242,530
243,8
244,1131
245,38
246,120
247,933
248,673
249,76
250,848
251,192
252,15
253,1056
254,606
255,789
256,760
257,1087
258,529
259,738
260,683
261,559
262,842
263,418
264,208
265,962
266,366
267,968
268,926
269,731
270,190
271,86
272,325
273,781
274,518
275,455
276,301
277,169
278,16
279,608
280,492
281,958
282,759
283,565
284,105
285,644
286,678
287,592
288,45
289,473
290,1091
291,682
292,187
293,1055
294,280
295,629
296,92
297,421
298,852
299,839
300,909
301,289
302,1115
303,704
304,297
305,654
306,389
307,694
308,283
309,657
310,724
311,165
312,435
313,340
314,556
315,1064
316,385
317,1167
318,598
319,396
320,621
321,623
322,870
323,632
324,944
325,953
326,1094
327,850
328,309
329,1143
330,198
331,210
332,356
333,234
334,528
335,399
336,718
337,408
338,376
339,488
340,960
341,580
342,351
343,94
344,820
345,890
346,1061
347,811
348,14
349,552
350,605
351,442
352,327
353,89
354,589
355,722
356,796
357,142
358,1158
359,714
360,763
361,425
362,1041
363,98
364,3
365,257
366,419
367,744
368,900
369,753
370,1021
371,871
372,769
373,1036
374,540
375,794
376,374
377,1079
378,814
379,339
380,684
381,406
382,916
383,254
384,414
385,222
386,313
387,1027
388,160
389,326
390,157
391,843
392,783
393,1130
394,141
395,132
396,478
397,379
398,628
399,294
400,1160
401,1111
402,801
403,955
404,109
405,17
406,311
407,886
408,924
409,266
410,1116
411,346
412,908
413,243
414,1121
415,101
416,671
417,808
418,1112
419,106
420,95
421,1123
422,81
423,1086
424,1007
425,316
426,737
427,761
428,209
429,1118
430,189
431,417
432,829
433,1054
434,423
435,726
436,610
437,495
438,885
439,281
440,225
441,818
442,361
443,1153
444,291
445,930
446,440
447,800
448,429
449,707
450,922
451,146
452,510
453,410
454,73
455,661
456,1110
457,997
458,972
459,998
460,1099
461,774
462,833
463,350
464,337
465,302
466,989
467,303
468,745
469,757
470,1113
471,493
472,880
473,62
474,66
475,470
476,255
477,1072
478,978
479,338
480,357
481,895
482,175
483,784
484,825
485,293
486,183
487,1164
488,212
489,1039
490,672
491,401
492,533
493,9
494,635
495,454
496,526
497,897
498,545
499,764
500,56
501,1008
502,508
503,1066
504,681
505,163
506,615
507,579
508,901
509,383
510,719
511,595
512,539
513,1151
514,211
515,597
516,352
517,1082
518,1013
519,52
520,935
521,507
522,881
523,50
524,904
525,433
526,130
527,228
528,196
529,31
530,304
531,404
532,372
533,954
534,613
535,459
536,450
537,793
538,506
539,48
540,335
541,268
542,72
543,834
544,387
545,1136
546,278
547,931
548,920
549,575
550,1124
551,1174
552,345
553,30
554,93
555,341
556,152
557,688
558,609
559,902
560,517
561,238
562,472
563,88
564,505
565,887
566,273
567,413
568,612
569,28
570,360
571,963
572,128
573,78
574,844
575,734
576,562
577,1156
578,1033
579,590
580,1083
581,882
582,34
583,115
584,627
585,1135
586,813
587,512
588,1152
589,1096
590,43
591,713
592,708
593,181
594,620
595,441
596,1002
597,917
598,102
599,669
600,1030
601,218
602,691
603,97
604,1163
605,117
606,1051
607,572
608,1092
609,27
610,1024
611,826
612,1080
613,786
614,712
615,287
616,655
617,288
618,705
619,679
620,851
621,402
622,666
623,35
624,636
625,1100
626,622
627,37
628,1177
629,269
630,490
631,504
632,395
633,317
634,446
635,626
636,277
637,872
638,178
639,548
640,710
641,845
642,0
643,245
644,925
645,324
646,525
647,279
648,57
649,318
650,422
651,862
652,164
653,640
654,476
655,754
656,320
657,903
658,1011
659,503
660,520
661,521
662,988
663,773
664,194
665,1109
666,465
667,206
668,1154
669,47
670,84
671,896
672,1045
673,244
674,809
675,145
676,847
677,1159
678,932
679,987
680,282
681,444
682,463
683,573
684,934
685,312
686,467
687,768
688,663
689,1019
690,1105
691,137
692,912
693,1165
694,227
695,176
696,570
697,247
698,1139
699,798
700,68
701,938
702,869
703,32
704,516
705,907
706,524
707,1107
708,305
709,147
710,830
711,1038
712,675
713,307
714,133
715,416
716,487
717,39
718,889
719,782
720,1043
721,83
722,1073
723,58
724,799
725,474
726,1133
727,878
728,481
729,777
730,448
731,111
732,858
733,113
734,1178
735,466
736,1076
737,822
738,393
739,994
740,173
741,859
742,388
743,1059
744,937
745,653
746,884
747,259
748,854
749,1125
750,948
751,55
752,641
753,199
754,555
755,846
756,977
757,697
758,730
759,1016
760,237
761,711
762,668
763,817
764,452
765,1162
766,453
767,213
768,853
769,1106
770,650
771,911
772,336
773,409
774,569
775,1015
776,537
777,1
778,143
779,104
780,1126
781,649
782,172
783,126
784,171
785,549
786,497
787,974
788,65
789,193
790,1020
791,532
792,656
793,373
794,359
795,46
796,742
797,631
798,380
799,458
800,411
801,836
802,285
803,348
804,451
805,381
806,1069
807,1023
808,216
809,1145
810,746
811,866
812,108
813,876
814,658
815,717
816,584
817,546
818,295
819,290
820,392
821,995
822,332
823,553
824,367
825,898
826,772
827,378
828,824
829,240
830,158
831,856
832,607
833,513
834,177
835,226
836,1005
837,662
838,139
839,162
840,431
841,1119
842,1058
843,560
844,692
845,42
846,899
847,633
848,248
849,821
850,443
851,802
852,1028
853,957
854,428
855,952
856,561
857,59
858,1166
859,567
860,519
861,980
862,752
863,1140
864,723
865,334
866,19
867,1060
868,795
869,741
870,1093
871,74
872,251
873,585
874,1088
875,1004
876,558
877,806
878,114
879,1017
880,496
881,913
882,33
883,432
884,358
885,200
886,1171
887,235
888,18
889,1003
890,439
891,314
892,665
893,6
894,87
895,349
896,791
897,127
898,464
899,1149
900,174
901,11
902,778
903,300
904,893
905,755
906,4
907,449
908,514
909,642
910,118
911,2
912,849
913,1161
914,370
915,377
916,659
917,860
918,299
919,447
920,263
921,1172
922,568
